customer id,gender,dob,city_id
1,F,29-03-1992,7
2,M,01-02-1993,13
3,F,07-01-1994,6
4,M,05-10-1997,8
5,M,04-08-2007,15
6,M,09-01-2003,13
7,M,20-08-1981,16
8,M,12-02-1983,11
9,F,07-04-1992,9
10,M,19-08-2005,17
11,F,08-06-1985,19
12,M,30-06-1985,15
13,M,18-09-1987,2
14,M,22-02-1983,9
15,M,05-05-1986,9
16,M,03-10-1993,15
17,F,23-05-1992,9
18,M,19-04-1989,4
19,M,26-07-1992,19
20,M,14-03-1983,9
21,M,14-09-1989,15
22,F,18-08-1986,7
23,F,24-11-1983,11
24,F,01-03-1996,14
25,M,14-06-2009,7
26,M,21-06-2009,16
27,M,26-03-1981,9
28,F,28-12-1995,14
29,M,28-03-1994,5
30,F,20-04-2010,16
31,M,31-05-1999,2
32,F,05-09-2001,10
33,F,13-05-1985,11
34,F,17-12-1996,4
35,F,10-01-2006,17
36,M,20-01-2008,2
37,F,27-07-1998,10
38,F,19-02-1982,9
39,F,21-09-1984,17
40,F,28-02-1983,10
41,F,30-08-1996,9
42,F,08-05-2006,20
43,F,25-08-1984,6
44,M,19-09-1995,17
45,F,27-04-1998,1
46,F,25-03-2007,5
47,M,17-08-2001,18
48,F,26-09-1989,17
49,M,14-03-2005,13
50,M,01-02-2004,16
51,F,06-09-2001,6
52,F,22-10-1986,15
53,F,27-02-1983,18
54,F,13-11-1984,9
55,F,10-11-2000,14
56,F,29-08-1992,7
57,F,10-11-1992,11
58,F,24-08-2000,20
59,F,29-01-1997,1
60,M,07-11-2002,13
61,M,10-05-2006,15
62,M,11-05-2008,11
63,F,03-04-2010,15
64,M,08-08-1982,1
65,F,02-03-2000,15
66,F,02-11-1985,19
67,F,07-03-2001,11
68,F,02-10-2010,9
69,M,20-04-2007,3
70,M,08-10-1981,2
71,F,22-12-2001,14
72,M,24-03-1987,14
73,F,25-06-2001,7
74,M,22-02-2010,6
75,F,04-05-1982,16
76,F,26-09-2003,1
77,M,24-08-2009,19
78,M,11-05-2002,10
79,F,02-02-2007,9
80,M,21-01-1989,7
81,M,17-10-2009,6
82,M,17-05-2001,13
83,M,12-04-1993,4
84,M,09-12-1985,9
85,F,08-12-2000,12
86,F,15-09-1995,1
87,F,07-10-1984,13
88,F,10-09-1997,19
89,M,01-11-1991,15
90,F,01-09-2001,8
91,M,23-12-2008,12
92,F,05-06-2009,5
93,M,29-05-1991,2
94,M,19-05-1994,18
95,M,10-06-2005,14
96,M,14-09-1995,1
97,F,02-09-2005,3
98,M,12-08-1997,15
99,M,23-10-1999,16
100,F,16-06-2004,19
101,M,07-06-1986,4
102,F,14-02-1982,13
103,M,13-05-2005,1
104,F,11-05-2003,2
105,M,02-12-1984,10
106,M,21-07-1988,16
107,M,04-07-1991,14
108,F,28-12-1990,4
109,M,17-06-2002,15
110,M,17-01-2010,6
111,M,03-11-1990,11
112,M,20-06-1996,5
113,F,23-04-2007,15
114,F,21-11-1999,18
115,F,11-08-1984,17
116,M,31-05-1983,20
117,M,25-08-1988,19
118,M,06-06-1980,18
119,M,04-08-1999,11
120,F,08-04-2008,2
121,F,05-09-2003,16
122,F,24-06-1999,12
123,F,08-05-2006,11
124,F,09-01-1980,19
125,M,11-07-1998,9
126,F,12-02-2010,7
127,F,18-07-2007,19
128,M,09-08-2003,20
129,M,17-09-1992,19
130,M,13-11-1995,12
131,F,10-04-2005,17
132,M,07-08-2000,13
133,F,30-07-1983,2
134,F,29-01-1981,15
135,M,02-01-1988,10
136,F,28-12-1989,12
137,M,10-05-1993,8
138,M,17-10-1986,20
139,M,02-11-1980,15
140,F,18-04-1999,11
141,M,15-06-2001,7
142,M,27-09-1981,16
143,F,03-09-1984,13
144,F,08-11-1982,20
145,F,25-06-2006,8
146,F,14-04-1992,19
147,F,14-09-1988,5
148,F,20-05-2007,19
149,F,03-06-2001,1
150,M,06-09-1997,6
151,M,10-11-1984,4
152,F,23-04-1986,3
153,M,23-12-1981,6
154,M,24-01-1995,19
155,F,12-04-1990,13
156,M,20-12-1996,13
157,M,28-05-1984,4
158,F,17-10-1988,16
159,M,10-07-1999,9
160,F,17-04-2010,15
161,F,23-10-1997,8
162,F,28-01-1986,19
163,M,17-06-1985,8
164,M,14-12-1984,8
165,M,23-01-2009,20
166,M,23-10-1981,6
167,M,06-02-1995,8
168,M,18-06-1999,3
169,F,03-01-1992,3
170,M,30-06-2007,19
171,M,26-08-2000,9
172,F,28-09-2010,15
173,M,27-09-1990,15
174,M,31-01-1992,3
175,F,03-09-1996,12
176,F,17-12-2001,3
177,F,11-02-1981,17
178,M,11-03-1994,4
179,M,21-01-1984,17
